player_id,player_normalized,season,team,pos,pts_per_game,ast_per_game,trb_per_game,stl_per_game,blk_per_game,tov_per_game,fg_percent,ft_percent,x3p_percent,mp_per_game,g,fppg,per
achiupr01,precious achiuwa,2026,SAC,C,7.3,1.0,5.2,0.6,0.4,0.5,0.543,0.458,0.214,20.9,14,16.0,13.3
adamsst01,steven adams,2026,HOU,C,6.5,1.5,9.4,0.7,0.7,1.0,0.508,0.775,,21.6,15,20.65,19.4
adebaba01,bam adebayo,2026,MIA,C,18.9,2.6,8.5,0.9,0.8,1.9,0.455,0.806,0.343,30.4,14,33.65,17.4
agbajoc01,ochai agbaji,2026,TOR,SG,3.1,0.7,1.9,0.4,0.1,0.3,0.388,0.7,0.059,13.6,15,7.0,4.8
aldamsa01,santi aldama,2026,MEM,PF,13.4,3.0,6.6,1.0,0.8,1.1,0.472,0.673,0.333,26.1,21,27.9,17.6
alexani01,nickeil alexander-walker,2026,ATL,SG,20.1,3.7,3.4,0.9,0.9,2.3,0.462,0.859,0.376,32.7,19,31.249999999999996,15.9
allengr01,grayson allen,2026,PHO,SG,17.9,4.2,2.9,1.6,0.3,1.6,0.462,0.794,0.438,31.6,14,30.249999999999996,17.5
allenja01,jarrett allen,2026,CLE,C,14.3,1.8,7.6,1.0,0.9,1.6,0.573,0.773,0.0,26.1,15,27.749999999999996,20.0
alvarjo01,jose alvarado,2026,NOP,PG,8.7,2.9,2.9,0.9,0.1,1.2,0.413,0.882,0.351,21.6,20,17.25,12.0
antetgi01,giannis antetokounmpo,2026,MIL,PF,30.9,6.6,10.9,1.0,1.0,3.4,0.643,0.636,0.455,30.7,15,53.3,36.1
anthoco01,cole anthony,2026,MIL,PG,8.0,4.5,3.0,0.8,0.4,2.2,0.425,0.55,0.255,17.5,20,18.55,11.4
anunoog01,og anunoby,2026,NYK,PF,15.8,2.2,5.6,1.9,0.7,1.8,0.476,0.76,0.392,31.1,12,29.4,16.4
avdijde01,deni avdija,2026,POR,SF,25.8,5.8,7.1,0.6,0.7,3.5,0.476,0.806,0.378,34.1,20,41.349999999999994,20.9
aytonde01,deandre ayton,2026,LAL,C,16.0,0.9,8.6,0.7,1.1,2.2,0.71,0.667,,29.5,17,28.250000000000004,19.6
baglema01,marvin bagley iii,2026,WAS,PF,7.6,1.4,4.4,0.6,0.6,1.0,0.638,0.696,0.5,15.8,14,16.1,19.5
baileac01,ace bailey,2026,UTA,SF,10.1,1.7,3.4,0.8,0.2,1.3,0.463,0.842,0.356,21.8,19,17.25,12.0
ballla01,lamelo ball,2026,CHO,PG,19.5,8.5,6.2,1.2,0.1,3.4,0.379,0.865,0.281,29.6,13,38.300000000000004,17.2
balllo01,lonzo ball,2026,CLE,PG,5.9,5.1,4.4,1.0,0.3,1.9,0.304,0.667,0.282,23.6,16,19.3,9.1
banchpa01,paolo banchero,2026,ORL,PF,21.7,4.1,8.7,0.8,0.9,2.7,0.461,0.766,0.25,32.8,12,38.099999999999994,18.9
banede01,desmond bane,2026,ORL,SG,18.3,4.5,4.5,0.8,0.4,2.3,0.441,0.926,0.316,32.7,20,30.249999999999996,14.6
barlodo01,dominick barlow,2026,PHI,PF,7.9,2.3,5.5,0.6,1.2,1.4,0.533,0.769,0.263,26.8,10,19.950000000000003,12.4
barneha02,harrison barnes,2026,SAS,PF,12.4,2.1,3.3,1.1,0.2,1.3,0.497,0.879,0.424,30.7,19,20.8,12.9
barnesc01,scottie barnes,2026,TOR,PF,19.9,5.0,8.0,1.4,1.6,2.3,0.513,0.859,0.414,33.4,21,40.6,21.0
barnhbr01,brooks barnhizer,2026,OKC,SG,1.4,0.3,2.1,0.1,0.1,0.1,0.529,0.5,0.5,7.5,15,4.3500000000000005,9.3
barrerj01,rj barrett,2026,TOR,SF,19.4,3.8,4.8,0.8,0.2,1.5,0.506,0.725,0.356,30.9,17,30.9,17.6
battlja01,jamison battle,2026,TOR,SF,3.6,0.1,1.1,0.1,0.1,0.4,0.645,1.0,0.579,7.1,15,4.95,14.9
batumni01,nicolas batum,2026,LAC,PF,4.3,0.6,2.8,1.0,0.5,0.7,0.365,0.857,0.362,18.9,20,11.05,7.9
beysa01,saddiq bey,2026,NOP,SF,13.3,2.3,6.0,1.0,0.1,0.7,0.44,0.66,0.373,28.3,20,24.8,16.0
bitadgo01,goga bitadze,2026,ORL,C,6.3,1.4,5.2,0.7,1.2,0.6,0.719,0.758,0.286,16.7,19,17.75,20.6
blackan01,anthony black,2026,ORL,PG,13.0,2.8,3.0,1.5,0.6,2.1,0.477,0.676,0.343,27.4,20,23.349999999999998,12.8
bonaad01,adem bona,2026,PHI,C,3.1,0.2,3.6,0.4,1.8,0.8,0.533,0.556,0.333,15.9,14,11.7,10.3
bookede01,devin booker,2026,PHO,SG,25.7,6.9,4.4,1.0,0.4,3.9,0.455,0.873,0.311,35.9,21,40.050000000000004,18.9
bradlto01,tony bradley,2026,IND,C,4.9,0.7,2.8,0.1,0.2,0.4,0.59,0.696,0.0,12.6,18,9.1,13.5
braunch01,christian braun,2026,DEN,SG,11.4,3.0,4.4,0.8,0.3,1.3,0.495,0.793,0.214,29.5,11,21.75,12.7
bridgmi01,mikal bridges,2026,NYK,SF,16.1,4.4,4.5,2.1,1.3,1.1,0.527,0.788,0.416,35.1,19,34.6,18.8
bridgmi02,miles bridges,2026,CHO,PF,22.4,3.6,6.3,0.7,0.6,1.5,0.432,0.863,0.339,35.3,20,35.85,17.4
brookdi01,dillon brooks,2026,PHO,SF,21.5,1.7,3.2,1.7,0.1,2.3,0.451,0.871,0.322,31.3,15,29.45,15.4
brownbr01,bruce brown,2026,DEN,SG,6.3,2.1,3.8,0.8,0.2,0.8,0.395,0.8,0.303,23.3,19,14.95,8.5
brownja02,jaylen brown,2026,BOS,SF,28.4,4.8,6.2,1.2,0.4,3.6,0.49,0.765,0.347,33.1,20,42.199999999999996,22.3
brownko01,kobe brown,2026,LAC,PF,3.3,0.8,1.7,0.2,0.1,0.6,0.421,1.0,0.28,11.1,13,6.3500000000000005,8.6
brunsja01,jalen brunson,2026,NYK,PG,28.5,6.2,3.4,0.7,0.1,2.4,0.478,0.861,0.37,34.4,17,40.800000000000004,21.9
bryanca01,carter bryant,2026,SAS,PF,2.1,0.1,1.5,0.3,0.1,0.4,0.289,1.0,0.238,7.1,14,4.35,3.2
bryanth01,thomas bryant,2026,CLE,C,2.1,0.1,1.6,0.3,0.3,0.1,0.406,0.4,0.125,6.2,14,5.25,10.3
butleji01,jimmy butler,2026,GSW,SF,20.2,5.2,5.7,1.6,0.3,1.4,0.527,0.856,0.436,31.7,19,37.050000000000004,24.7
buzelma01,matas buzelis,2026,CHI,PF,13.2,1.4,5.6,0.7,1.4,1.9,0.455,0.796,0.349,27.8,19,24.25,12.1
caldwke01,kentavious caldwell-pope,2026,MEM,SG,7.6,3.0,2.4,0.7,0.2,1.2,0.371,0.909,0.329,22.4,21,15.55,9.4
camarto01,toumani camara,2026,POR,PF,12.3,2.8,5.4,1.1,0.6,2.1,0.404,0.75,0.321,34.0,20,24.05,9.6
capelca01,clint capela,2026,HOU,C,3.6,0.4,4.6,0.5,0.6,0.4,0.568,0.8,,10.8,16,11.149999999999999,21.9
carlsbr01,branden carlson,2026,OKC,C,3.8,0.6,1.8,0.2,0.6,0.2,0.488,0.6,0.3,8.4,13,8.3,15.9
carrica01,bub carrington,2026,WAS,PG,6.5,4.1,3.6,0.5,0.1,2.2,0.353,0.714,0.446,25.2,18,15.55,5.6
carteje01,jevon carter,2026,CHI,PG,6.3,1.3,1.3,0.7,0.0,0.5,0.426,1.0,0.436,13.5,10,10.8,13.4
cartewe01,wendell carter jr.,2026,ORL,C,12.1,2.0,7.6,0.6,0.7,1.9,0.528,0.815,0.453,29.6,19,24.05,14.5
carusal01,alex caruso,2026,OKC,SG,5.7,2.5,2.4,1.6,0.3,1.0,0.4,0.8,0.354,18.8,15,15.600000000000001,12.6
castlst01,stephon castle,2026,SAS,PG,17.3,7.5,5.8,1.7,0.4,4.0,0.497,0.694,0.24,32.0,13,35.6,17.6
champju01,justin champagnie,2026,WAS,SF,2.8,0.7,3.1,0.6,0.1,0.2,0.368,0.833,0.133,10.7,16,8.5,13.3
champju02,julian champagnie,2026,SAS,SF,10.9,1.4,5.4,0.9,0.5,1.2,0.405,0.826,0.362,28.3,19,20.7,12.3
chrisca02,cam christie,2026,LAC,SG,4.9,0.7,2.0,0.3,0.2,0.4,0.383,0.741,0.348,10.9,13,8.799999999999999,13.4
chrisma02,max christie,2026,DAL,SG,12.3,2.1,3.4,0.5,0.5,1.2,0.473,0.794,0.446,29.3,21,20.150000000000002,11.7
cissemo01,moussa cisse,2026,DAL,C,3.3,0.2,3.5,0.3,1.1,0.8,0.636,0.407,,10.8,16,9.799999999999999,13.1
cissosi01,sidy cissoko,2026,POR,SF,4.3,1.4,2.0,0.5,0.1,0.9,0.39,0.625,0.273,17.1,15,8.999999999999998,5.8
clarkja02,jaylen clark,2026,MIN,SG,4.2,0.5,2.3,0.8,0.1,0.3,0.413,0.591,0.355,14.8,18,9.2,9.7
clarkjo01,jordan clarkson,2026,NYK,SG,10.5,1.7,1.9,0.3,0.2,1.2,0.455,0.862,0.309,19.2,19,15.0,12.7
claxtni01,nic claxton,2026,BRK,C,13.6,3.9,7.3,0.7,1.3,1.6,0.555,0.691,0.0,29.8,19,30.15,18.7
claytwa01,walter clayton,2026,UTA,PG,5.2,3.2,2.0,0.5,0.3,1.4,0.382,1.0,0.27,15.6,15,12.6,9.9
cliffni01,nique clifford,2026,SAC,SG,3.8,1.6,2.6,0.4,0.2,0.6,0.367,0.667,0.321,15.8,17,9.700000000000001,7.1
clingdo01,donovan clingan,2026,POR,C,10.2,1.7,10.0,0.7,1.5,0.7,0.493,0.811,0.255,25.4,19,27.55,19.8
clownno01,noah clowney,2026,BRK,PF,12.1,1.6,3.6,0.7,0.7,1.8,0.394,0.8,0.331,27.3,19,19.8,10.7
coffeam01,amir coffey,2026,MIL,SG,1.6,0.5,0.9,0.0,0.1,0.1,0.435,1.0,0.3,8.6,16,3.4,6.4
colliis01,isaiah collier,2026,UTA,PG,8.4,5.6,2.5,0.5,0.5,2.5,0.508,0.725,0.273,22.7,11,19.299999999999997,11.8
collijo01,john collins,2026,LAC,PF,12.0,0.6,4.9,0.7,0.7,1.6,0.508,0.818,0.333,26.9,20,19.699999999999996,12.3
conlemi01,mike conley,2026,MIN,PG,5.8,3.5,1.9,0.6,0.2,0.8,0.41,0.917,0.439,19.8,20,14.149999999999999,11.7
connapa01,pat connaughton,2026,CHO,SG,4.3,0.6,1.9,0.4,0.1,0.3,0.486,0.667,0.375,9.7,12,8.049999999999999,15.5
coulibi01,bilal coulibaly,2026,WAS,SG,9.7,3.2,3.8,1.1,1.0,1.8,0.39,0.794,0.294,26.8,10,21.75,10.6
cowarce01,cedric coward,2026,MEM,SG,13.2,2.7,6.0,0.6,0.3,1.4,0.452,0.855,0.354,27.1,21,24.1,14.7
cunnica01,cade cunningham,2026,DET,PG,28.8,9.4,6.4,1.2,0.7,4.1,0.456,0.815,0.312,36.7,17,49.95,21.9
curryst01,stephen curry,2026,GSW,PG,27.9,4.0,3.7,1.3,0.6,3.1,0.471,0.919,0.391,31.1,16,39.24999999999999,22.8
daniedy01,dyson daniels,2026,ATL,SG,10.3,6.0,6.6,2.2,0.4,2.3,0.497,0.567,0.172,33.7,21,30.099999999999998,13.3
dasiltr01,tristan da silva,2026,ORL,SF,11.3,1.3,3.9,0.8,0.3,0.9,0.48,0.808,0.402,23.7,20,19.000000000000004,14.6
demineg01,egor dёmin,2026,BRK,PG,8.5,3.5,3.7,0.8,0.3,1.7,0.381,0.833,0.347,22.6,17,18.5,11.0
dennira01,rayj dennis,2026,IND,PG,4.9,2.0,1.6,0.2,0.3,1.1,0.306,0.889,0.316,12.9,13,9.65,6.7
derozde01,demar derozan,2026,SAC,PF,18.4,3.6,3.0,1.3,0.2,1.1,0.496,0.905,0.386,33.1,21,29.449999999999996,16.7
diabamo01,moussa diabaté,2026,CHO,C,9.3,1.2,8.1,0.6,1.2,0.8,0.648,0.71,,22.9,20,22.9,20.7
diawamo01,mohamed diawara,2026,NYK,SF,0.8,0.4,0.8,0.2,0.1,0.4,0.4,0.0,0.333,3.3,12,2.5500000000000003,5.6
dickgr01,gradey dick,2026,TOR,SG,6.5,0.7,2.0,0.7,0.1,0.4,0.393,0.853,0.313,16.2,21,11.15,10.7
diengou01,ousmane dieng,2026,OKC,C,3.0,0.8,1.7,0.1,0.4,0.4,0.372,1.0,0.286,11.0,14,6.75,6.9
dilliro01,rob dillingham,2026,MIN,PG,4.2,1.9,1.2,0.8,0.0,1.1,0.361,0.692,0.316,10.5,18,9.15,8.1
divindo01,donte divincenzo,2026,MIN,SG,14.0,3.6,4.0,1.1,0.4,1.4,0.429,0.837,0.397,31.3,20,25.75,14.2
doncilu01,luka dončić,2026,LAL,PG,35.1,9.2,8.7,1.7,0.6,4.0,0.471,0.806,0.339,37.3,15,59.349999999999994,29.6
dortlu01,luguentz dort,2026,OKC,SF,8.0,1.1,3.9,1.0,0.4,0.7,0.382,0.923,0.312,29.1,15,16.35,7.9
dosunay01,ayo dosunmu,2026,CHI,SG,15.6,2.9,2.6,0.4,0.2,1.2,0.545,0.833,0.478,26.8,17,22.849999999999998,16.5
drumman01,andre drummond,2026,PHI,C,7.8,0.7,9.8,0.7,0.9,0.8,0.554,0.633,0.435,22.4,18,21.85,17.5
dunnkr01,kris dunn,2026,LAC,PG,7.8,2.6,2.7,1.6,0.2,1.4,0.492,0.727,0.36,26.5,20,17.5,10.9
dunnry01,ryan dunn,2026,PHO,SF,8.4,1.9,4.8,1.4,0.7,1.0,0.478,0.667,0.34,24.1,16,20.299999999999997,13.9
duranke01,kevin durant,2026,HOU,SF,24.6,3.3,4.9,1.1,0.7,2.9,0.498,0.882,0.386,35.7,15,36.050000000000004,19.1
durenja01,jalen duren,2026,DET,C,19.5,2.0,11.8,0.9,1.1,2.6,0.654,0.764,,29.1,17,36.699999999999996,25.7
easonta01,tari eason,2026,HOU,PF,11.5,1.6,5.2,0.8,0.5,1.7,0.495,0.714,0.509,23.2,11,20.650000000000002,16.2
edgecvj01,vj edgecombe,2026,PHI,SG,15.1,4.1,5.8,1.3,0.4,1.9,0.41,0.737,0.36,36.4,16,29.4,11.6
edwaran01,anthony edwards,2026,MIN,SG,28.9,3.9,4.5,1.3,0.6,2.7,0.491,0.826,0.409,33.3,16,41.3,24.0
edwarju01,justin edwards,2026,PHI,SF,6.2,1.4,1.9,0.6,0.2,0.9,0.409,0.909,0.345,17.0,17,11.299999999999999,9.3
elliske01,keon ellis,2026,SAC,SG,5.7,0.6,1.4,1.2,0.4,0.5,0.429,0.563,0.415,16.6,20,11.5,10.6
eubandr01,drew eubanks,2026,SAC,C,5.9,0.4,3.2,0.6,0.8,1.0,0.624,0.515,0.5,15.7,21,12.200000000000001,12.5
fearsje01,jeremiah fears,2026,NOP,PG,15.4,2.7,3.3,1.5,0.1,2.2,0.445,0.779,0.36,27.2,21,24.55,13.9
filipky01,kyle filipowski,2026,UTA,C,8.6,2.3,5.9,0.3,0.6,1.2,0.435,0.689,0.319,20.7,18,19.0,12.8
flaggco01,cooper flagg,2026,DAL,PG,16.7,3.5,6.6,1.4,0.6,2.2,0.462,0.803,0.253,33.9,20,31.349999999999998,14.0
flemira01,rasheer fleming,2026,PHO,PF,2.1,0.2,1.3,0.1,0.1,0.3,0.318,1.0,0.231,5.7,10,3.9000000000000004,7.9
fontesi01,simone fontecchio,2026,MIA,SF,10.3,1.6,2.8,0.5,0.2,1.1,0.423,0.848,0.393,18.8,19,16.15,13.0
foxde01,de'aaron fox,2026,SAS,PG,24.1,6.6,3.5,1.4,0.4,3.2,0.495,0.852,0.368,33.5,11,38.8,21.1
gaffoda01,daniel gafford,2026,DAL,C,9.4,1.4,6.5,0.9,1.5,1.4,0.617,0.78,,23.5,14,22.6,17.3
garzalu01,luka garza,2026,BOS,C,6.5,0.8,3.8,0.3,0.4,0.4,0.565,0.75,0.44,14.1,17,12.85,18.8
georgke01,keyonte george,2026,UTA,PG,22.5,6.8,3.9,0.9,0.3,3.5,0.44,0.898,0.325,33.9,19,36.099999999999994,16.7
georgky01,kyshawn george,2026,WAS,SF,15.8,4.8,6.1,1.0,0.9,3.4,0.479,0.733,0.437,31.3,16,30.449999999999996,13.7
giddejo01,josh giddey,2026,CHI,PG,20.5,9.3,10.0,0.9,0.4,3.4,0.469,0.745,0.392,34.0,17,44.300000000000004,20.5
gilgesh01,shai gilgeous-alexander,2026,OKC,PG,32.5,6.6,4.8,1.5,0.7,1.8,0.545,0.887,0.411,33.5,21,50.9,33.1
gilleco01,collin gillespie,2026,PHO,PG,12.7,5.0,3.8,1.2,0.3,1.8,0.439,0.833,0.429,26.4,21,25.95,16.9
goberru01,rudy gobert,2026,MIN,C,10.4,1.9,10.1,0.4,1.6,1.7,0.725,0.493,,31.9,20,26.650000000000002,15.5
gonzahu01,hugo gonzález,2026,BOS,SF,2.5,0.7,1.7,0.8,0.1,0.4,0.429,0.4,0.462,11.0,15,7.1,8.8
goodwjo01,jordan goodwin,2026,PHO,PG,8.2,1.9,4.4,1.4,0.2,1.2,0.436,0.75,0.361,19.9,18,18.25,15.2
gordoaa01,aaron gordon,2026,DEN,PF,18.8,1.3,5.9,0.8,0.2,1.4,0.532,0.867,0.444,28.3,13,27.750000000000004,20.5
grantje01,jerami grant,2026,POR,PF,19.1,2.4,3.5,0.8,0.5,2.1,0.445,0.852,0.393,29.1,19,27.35,16.5
greenaj01,a.j. green,2026,MIL,SG,11.3,2.1,2.9,0.6,0.0,0.8,0.494,0.762,0.493,29.0,21,18.05,11.6
greendr01,draymond green,2026,GSW,PF,8.0,5.8,6.1,0.8,0.8,3.1,0.377,0.619,0.329,29.1,18,23.699999999999996,8.3
greenja02,javonte green,2026,DET,SG,6.8,0.9,3.1,1.0,0.5,0.8,0.421,0.763,0.321,20.1,20,14.2,10.8
grimequ01,quentin grimes,2026,PHI,SG,17.0,4.3,3.8,0.9,0.5,2.8,0.448,0.857,0.369,33.1,19,27.95,13.8
gueyemo02,mouhamed gueye,2026,ATL,PF,6.5,1.2,4.0,0.5,0.7,0.7,0.518,0.5,0.271,17.4,21,14.600000000000001,13.3
hachiru01,rui hachimura,2026,LAL,PF,14.8,0.9,3.8,0.6,0.2,1.1,0.545,0.735,0.461,33.6,18,20.85,12.4
hardati02,tim hardaway jr.,2026,DEN,SG,11.9,1.3,1.9,0.4,0.1,0.3,0.455,0.897,0.429,24.2,19,16.7,13.6
hardeja01,james harden,2026,LAC,PG,27.7,8.7,5.9,1.1,0.4,4.1,0.437,0.908,0.372,35.9,19,46.3,24.1
hardyja02,jaden hardy,2026,DAL,SG,5.3,0.4,1.2,0.2,0.1,0.8,0.375,0.8,0.4,10.2,18,7.05,8.5
harriga01,gary harris,2026,MIL,SG,2.4,1.2,1.3,0.9,0.1,0.4,0.444,1.0,0.429,12.8,14,7.6,9.7
harrito02,tobias harris,2026,DET,PF,15.2,2.6,5.0,0.5,0.4,1.1,0.496,0.844,0.36,30.0,11,25.25,14.8
harteis01,isaiah hartenstein,2026,OKC,C,12.2,3.4,10.7,1.3,0.8,2.1,0.671,0.64,0.0,27.8,19,31.15,21.1
hartjo01,josh hart,2026,NYK,SF,11.4,5.1,7.8,1.3,0.3,2.1,0.497,0.794,0.379,28.4,18,28.749999999999996,16.8
hausesa01,sam hauser,2026,BOS,PF,7.0,1.5,3.5,0.6,0.3,0.6,0.353,0.75,0.342,22.3,20,14.4,9.2
hawkijo01,jordan hawkins,2026,NOP,SG,5.1,1.0,1.8,0.2,0.1,0.4,0.337,0.714,0.296,15.2,17,8.749999999999998,6.3
hayesja02,jaxson hayes,2026,LAL,C,5.7,1.3,4.1,0.4,0.6,0.6,0.75,0.667,1.0,17.6,16,13.65,15.3
hayesni01,nigel hayes-davis,2026,PHO,SF,1.3,0.3,1.3,0.3,0.1,0.4,0.31,0.5,0.091,8.3,15,3.65,3.0
hendrta01,taylor hendricks,2026,UTA,PF,4.0,0.5,3.7,0.5,0.3,0.5,0.364,0.7,0.25,14.3,11,9.95,9.9
hieldbu01,buddy hield,2026,GSW,SG,7.2,1.5,2.0,0.9,0.0,1.1,0.409,0.923,0.308,17.5,21,12.6,9.7
holidaa01,aaron holiday,2026,HOU,PG,8.3,1.2,0.8,0.4,0.1,0.8,0.423,0.905,0.4,14.0,12,11.350000000000001,14.6
holidjr01,jrue holiday,2026,POR,PG,16.7,8.3,5.3,1.6,0.3,2.9,0.446,0.84,0.365,33.4,12,36.300000000000004,17.0
hollaro01,ron holland,2026,DET,SF,7.5,1.9,3.2,1.8,0.3,1.6,0.407,0.808,0.264,21.6,20,17.199999999999996,9.8
holmgch01,chet holmgren,2026,OKC,PF,18.2,1.7,8.0,0.7,1.5,2.1,0.555,0.806,0.353,29.6,17,32.15,19.6
horfoal01,al horford,2026,GSW,C,5.8,1.8,4.3,1.0,1.0,1.3,0.343,1.0,0.32,21.8,12,16.5,9.2
howarje01,jett howard,2026,ORL,SF,6.0,0.8,1.1,0.1,0.2,0.1,0.456,1.0,0.386,11.0,14,8.950000000000001,15.5
huertke01,kevin huerter,2026,CHI,SF,12.6,2.6,3.4,0.8,0.8,1.3,0.48,0.848,0.307,25.1,18,22.599999999999998,14.0
huffja01,jay huff,2026,IND,C,7.4,1.1,3.7,0.2,2.3,0.8,0.423,0.708,0.321,17.4,20,18.2,14.8
